I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
40854788.000000,0.127573,0.355857,2.157614,-0.896953,-0.043676,2.992328,-3.682869,-0.802849,8.933719,2.004000,9.696362,2.157565,0.000000,0.217199,-0.033745
40856788.000000,0.127669,0.355306,2.163898,-0.903344,-0.046872,2.984871,-3.317366,-0.889959,9.277669,2.005000,9.893032,2.163849,0.000000,0.223302,0.013357
40858788.000000,0.127804,0.354736,2.170251,-0.871386,-0.054328,2.951848,-3.317366,-0.889959,9.277669,2.051000,9.893032,2.170202,0.000000,0.223436,0.012788
40860792.000000,0.128127,0.354086,2.176305,-0.866060,-0.052198,2.933738,-2.765070,0.159851,9.505772,1.957000,9.901053,2.176256,0.000000,0.111313,0.071052
40862792.000000,0.128319,0.353633,2.182490,-0.877778,-0.042611,2.930542,-3.581390,-0.419385,8.840322,2.004000,9.547437,2.182441,0.000000,0.175723,-0.030889
40864812.000000,0.128504,0.353114,2.188648,-0.864995,-0.042611,2.922020,-3.473625,-0.541519,9.555163,2.004000,10.181378,2.188599,0.000000,0.185116,0.004948
40866792.000000,0.128733,0.352493,2.194782,-0.851146,-0.047937,2.901780,-2.881816,-0.331377,9.336940,2.011000,9.777173,2.194733,0.000000,0.164209,0.053300
40868792.000000,0.128953,0.351857,2.200953,-0.844755,-0.054328,2.874084,-2.881816,-0.331377,9.336940,2.044000,9.777173,2.200904,0.000000,0.164429,0.052663
40870800.000000,0.129234,0.351360,2.206869,-0.843689,-0.055394,2.866627,-3.375739,0.029635,8.904982,1.958000,9.523402,2.206820,0.000000,0.125906,-0.010985
40872776.000000,0.129369,0.350777,2.212887,-0.851146,-0.054328,2.863431,-3.178169,-0.618751,9.579411,2.004000,10.111811,2.212839,0.000000,0.193871,0.031055
40874800.000000,0.129459,0.350208,2.218858,-0.842624,-0.058590,2.845321,-3.139554,-0.819014,9.177986,2.004000,9.734630,2.218809,0.000000,0.218460,0.021824
40876792.000000,0.129789,0.349720,2.224792,-0.824515,-0.056459,2.805907,-3.500566,0.322397,9.102551,2.004000,9.757783,2.224743,0.000000,0.094386,-0.017205
